Provenance;Terms involved;Ontology;Requirement description;Result
https://ontology.tno.nl/saref.ttl;["OpenCloseFunction"];https://ontology.tno.nl/saref.ttl;OpenCloseFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Task"];https://ontology.tno.nl/saref.ttl;Task exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["GetMeterDataCommand"];https://ontology.tno.nl/saref.ttl;GetMeterDataCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Meter"];https://ontology.tno.nl/saref.ttl;Meter exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["SmokeSensor"];https://ontology.tno.nl/saref.ttl;SmokeSensor exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["MultiLevelState"];https://ontology.tno.nl/saref.ttl;MultiLevelState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Smoke"];https://ontology.tno.nl/saref.ttl;Smoke exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StartState"];https://ontology.tno.nl/saref.ttl;StartState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OffState"];https://ontology.tno.nl/saref.ttl;OffState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["SensingFunction"];https://ontology.tno.nl/saref.ttl;SensingFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["HVAC"];https://ontology.tno.nl/saref.ttl;HVAC exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["DoorSwitch"];https://ontology.tno.nl/saref.ttl;DoorSwitch exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Light"];https://ontology.tno.nl/saref.ttl;Light exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Occupancy"];https://ontology.tno.nl/saref.ttl;Occupancy exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Network"];https://ontology.tno.nl/saref.ttl;Network exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["CloseCommand"];https://ontology.tno.nl/saref.ttl;CloseCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Currency"];https://ontology.tno.nl/saref.ttl;Currency exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Coal"];https://ontology.tno.nl/saref.ttl;Coal exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["MeteringFunction"];https://ontology.tno.nl/saref.ttl;MeteringFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["GetCurrentMeterValueCommand"];https://ontology.tno.nl/saref.ttl;GetCurrentMeterValueCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["GetMeterHistoryCommand"];https://ontology.tno.nl/saref.ttl;GetMeterHistoryCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["ToggleCommand"];https://ontology.tno.nl/saref.ttl;ToggleCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["EnergyRelated"];https://ontology.tno.nl/saref.ttl;EnergyRelated exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OnOffState"];https://ontology.tno.nl/saref.ttl;OnOffState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["LightingDevice"];https://ontology.tno.nl/saref.ttl;LightingDevice exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["GetSensingDataCommand"];https://ontology.tno.nl/saref.ttl;GetSensingDataCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Load"];https://ontology.tno.nl/saref.ttl;Load exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["UnitOfMeasure"];https://ontology.tno.nl/saref.ttl;UnitOfMeasure exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StartStopState"];https://ontology.tno.nl/saref.ttl;StartStopState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["SetRelativeLevelCommand"];https://ontology.tno.nl/saref.ttl;SetRelativeLevelCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Device"];https://ontology.tno.nl/saref.ttl;Device exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["TemperatureUnit"];https://ontology.tno.nl/saref.ttl;TemperatureUnit exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Pressure"];https://ontology.tno.nl/saref.ttl;Pressure exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StepDownCommand"];https://ontology.tno.nl/saref.ttl;StepDownCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StopCommand"];https://ontology.tno.nl/saref.ttl;StopCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Storage"];https://ontology.tno.nl/saref.ttl;Storage exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OpenState"];https://ontology.tno.nl/saref.ttl;OpenState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Switch"];https://ontology.tno.nl/saref.ttl;Switch exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["TemporalEntity"];https://ontology.tno.nl/saref.ttl;TemporalEntity exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Price"];https://ontology.tno.nl/saref.ttl;Price exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["State"];https://ontology.tno.nl/saref.ttl;State exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["SetLevelCommand"];https://ontology.tno.nl/saref.ttl;SetLevelCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Gas"];https://ontology.tno.nl/saref.ttl;Gas exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["PauseCommand"];https://ontology.tno.nl/saref.ttl;PauseCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["PressureUnit"];https://ontology.tno.nl/saref.ttl;PressureUnit exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["MicroRenewable"];https://ontology.tno.nl/saref.ttl;MicroRenewable exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Sensor"];https://ontology.tno.nl/saref.ttl;Sensor exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Generator"];https://ontology.tno.nl/saref.ttl;Generator exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Measurement"];https://ontology.tno.nl/saref.ttl;Measurement exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["EnergyMeter"];https://ontology.tno.nl/saref.ttl;EnergyMeter exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["WashingMachine"];https://ontology.tno.nl/saref.ttl;WashingMachine exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StartStopFunction"];https://ontology.tno.nl/saref.ttl;StartStopFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Temperature"];https://ontology.tno.nl/saref.ttl;Temperature exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StartCommand"];https://ontology.tno.nl/saref.ttl;StartCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Time"];https://ontology.tno.nl/saref.ttl;Time exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Profile"];https://ontology.tno.nl/saref.ttl;Profile exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Function"];https://ontology.tno.nl/saref.ttl;Function exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["FunctionRelated"];https://ontology.tno.nl/saref.ttl;FunctionRelated exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Appliance"];https://ontology.tno.nl/saref.ttl;Appliance exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Commodity"];https://ontology.tno.nl/saref.ttl;Commodity exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Energy"];https://ontology.tno.nl/saref.ttl;Energy exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Electricity"];https://ontology.tno.nl/saref.ttl;Electricity exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StepUpCommand"];https://ontology.tno.nl/saref.ttl;StepUpCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OpenCommand"];https://ontology.tno.nl/saref.ttl;OpenCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Humidity"];https://ontology.tno.nl/saref.ttl;Humidity exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["EventFunction"];https://ontology.tno.nl/saref.ttl;EventFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OnState"];https://ontology.tno.nl/saref.ttl;OnState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["PowerUnit"];https://ontology.tno.nl/saref.ttl;PowerUnit exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Property"];https://ontology.tno.nl/saref.ttl;Property exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["IlluminanceUnit"];https://ontology.tno.nl/saref.ttl;IlluminanceUnit exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["CloseState"];https://ontology.tno.nl/saref.ttl;CloseState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Actuator"];https://ontology.tno.nl/saref.ttl;Actuator exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OnOffFunction"];https://ontology.tno.nl/saref.ttl;OnOffFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Multimedia"];https://ontology.tno.nl/saref.ttl;Multimedia exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["NotifyCommand"];https://ontology.tno.nl/saref.ttl;NotifyCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Motion"];https://ontology.tno.nl/saref.ttl;Motion exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["ActuatingFunction"];https://ontology.tno.nl/saref.ttl;ActuatingFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["TemporalUnit"];https://ontology.tno.nl/saref.ttl;TemporalUnit exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OpenCloseState"];https://ontology.tno.nl/saref.ttl;OpenCloseState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["EnergyUnit"];https://ontology.tno.nl/saref.ttl;EnergyUnit exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Service"];https://ontology.tno.nl/saref.ttl;Service exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["TemperatureSensor"];https://ontology.tno.nl/saref.ttl;TemperatureSensor exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["LightSwitch"];https://ontology.tno.nl/saref.ttl;LightSwitch exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["GetCommand"];https://ontology.tno.nl/saref.ttl;GetCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OnCommand"];https://ontology.tno.nl/saref.ttl;OnCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Command"];https://ontology.tno.nl/saref.ttl;Command exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["OffCommand"];https://ontology.tno.nl/saref.ttl;OffCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["SetAbsoluteLevelCommand"];https://ontology.tno.nl/saref.ttl;SetAbsoluteLevelCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["SwitchOnService"];https://ontology.tno.nl/saref.ttl;SwitchOnService exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["LevelControlFunction"];https://ontology.tno.nl/saref.ttl;LevelControlFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["BuildingRelated"];https://ontology.tno.nl/saref.ttl;BuildingRelated exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["StopState"];https://ontology.tno.nl/saref.ttl;StopState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;["Power"];https://ontology.tno.nl/saref.ttl;Power exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasName","Property"]';https://ontology.tno.nl/saref.ttl;hasName exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isOfferedBy","Property"]';https://ontology.tno.nl/saref.ttl;isOfferedBy exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["accomplishes","Property"]';https://ontology.tno.nl/saref.ttl;accomplishes exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasMeterReadingType","Property"]';https://ontology.tno.nl/saref.ttl;hasMeterReadingType exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasModel","Property"]';https://ontology.tno.nl/saref.ttl;hasModel exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasTypicalConsumption","Property"]';https://ontology.tno.nl/saref.ttl;hasTypicalConsumption exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasTime","Property"]';https://ontology.tno.nl/saref.ttl;hasTime exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasTimestamp","Property"]';https://ontology.tno.nl/saref.ttl;hasTimestamp exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["represents","Property"]';https://ontology.tno.nl/saref.ttl;represents exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isCommandOf","Property"]';https://ontology.tno.nl/saref.ttl;isCommandOf exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasSensorType","Property"]';https://ontology.tno.nl/saref.ttl;hasSensorType exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasCommand","Property"]';https://ontology.tno.nl/saref.ttl;hasCommand exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isMeasuredByDevice","Property"]';https://ontology.tno.nl/saref.ttl;isMeasuredByDevice exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasProfile","Property"]';https://ontology.tno.nl/saref.ttl;hasProfile exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isMeasuredIn","Property"]';https://ontology.tno.nl/saref.ttl;isMeasuredIn exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasPrice","Property"]';https://ontology.tno.nl/saref.ttl;hasPrice exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["relatesToProperty","Property"]';https://ontology.tno.nl/saref.ttl;relatesToProperty exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["offers","Property"]';https://ontology.tno.nl/saref.ttl;offers exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasMeterReading","Property"]';https://ontology.tno.nl/saref.ttl;hasMeterReading exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isAccomplishedBy","Property"]';https://ontology.tno.nl/saref.ttl;isAccomplishedBy exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isUsedFor","Property"]';https://ontology.tno.nl/saref.ttl;isUsedFor exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasDescription","Property"]';https://ontology.tno.nl/saref.ttl;hasDescription exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["consistsOf","Property"]';https://ontology.tno.nl/saref.ttl;consistsOf exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasSensingRange","Property"]';https://ontology.tno.nl/saref.ttl;hasSensingRange exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasValue","Property"]';https://ontology.tno.nl/saref.ttl;hasValue exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasState","Property"]';https://ontology.tno.nl/saref.ttl;hasState exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isAbout","Property"]';https://ontology.tno.nl/saref.ttl;isAbout exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["actsUpon","Property"]';https://ontology.tno.nl/saref.ttl;actsUpon exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["measuresProperty","Property"]';https://ontology.tno.nl/saref.ttl;measuresProperty exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["controlsProperty","Property"]';https://ontology.tno.nl/saref.ttl;controlsProperty exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasFunction","Property"]';https://ontology.tno.nl/saref.ttl;hasFunction exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["relatesToMeasurement","Property"]';https://ontology.tno.nl/saref.ttl;relatesToMeasurement exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasManufacturer","Property"]';https://ontology.tno.nl/saref.ttl;hasManufacturer exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["isControlledByDevice","Property"]';https://ontology.tno.nl/saref.ttl;isControlledByDevice exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["makesMeasurement","Property"]';https://ontology.tno.nl/saref.ttl;makesMeasurement exists in the ontology;passed
https://ontology.tno.nl/saref.ttl;'["hasThresholdMeasurement","Property"]';https://ontology.tno.nl/saref.ttl;hasThresholdMeasurement exists in the ontology;passed
