Ontology;Value;Term
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#netTechnologyProfile;netTechnologyProfile
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction;hasDataRestriction
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#exposesCommand;exposesCommand
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasValue;hasValue
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#describes;describes
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Command;Command
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Function;Function
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#isPartOf;isPartOf
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasInput;hasInput
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;http://www.w3.org/2000/01/rdf-schema#comment;comment
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#Variable;Variable
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasThingRelation;hasThingRelation
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#oneM2MMethod;oneM2MMethod
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasOperation;hasOperation
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasMetaData;hasMetaData
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasOutput;hasOutput
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral;PlainLiteral
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#resourceDescriptorLink;resourceDescriptorLink
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_pattern;hasDataRestriction_pattern
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasSubService;hasSubService
https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl;https://git.onem2m.org/MAS/BaseOntology/raw/master/base_ontology.owl#hasDataRestriction_maxInclusive;hasDataRestriction_maxInclusive
