Provenance;Terms involved;Ontology;Requirement description;Result
https://saref.etsi.org/core/v3.1.1/;["Water"];https://saref.etsi.org/core/v3.1.1/;Water exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["OpenCloseFunction"];https://saref.etsi.org/core/v3.1.1/;OpenCloseFunction exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Task"];https://saref.etsi.org/core/v3.1.1/;Task exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Meter"];https://saref.etsi.org/core/v3.1.1/;Meter exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["GetMeterDataCommand"];https://saref.etsi.org/core/v3.1.1/;GetMeterDataCommand exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["SmokeSensor"];https://saref.etsi.org/core/v3.1.1/;SmokeSensor exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["MultiLevelState"];https://saref.etsi.org/core/v3.1.1/;MultiLevelState exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Smoke"];https://saref.etsi.org/core/v3.1.1/;Smoke exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["StartState"];https://saref.etsi.org/core/v3.1.1/;StartState exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["OffState"];https://saref.etsi.org/core/v3.1.1/;OffState exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["SensingFunction"];https://saref.etsi.org/core/v3.1.1/;SensingFunction exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["HVAC"];https://saref.etsi.org/core/v3.1.1/;HVAC exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["DoorSwitch"];https://saref.etsi.org/core/v3.1.1/;DoorSwitch exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Light"];https://saref.etsi.org/core/v3.1.1/;Light exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Coal"];https://saref.etsi.org/core/v3.1.1/;Coal exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["CloseCommand"];https://saref.etsi.org/core/v3.1.1/;CloseCommand exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Currency"];https://saref.etsi.org/core/v3.1.1/;Currency exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["Occupancy"];https://saref.etsi.org/core/v3.1.1/;Occupancy exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["MeteringFunction"];https://saref.etsi.org/core/v3.1.1/;MeteringFunction exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["GetCurrentMeterValueCommand"];https://saref.etsi.org/core/v3.1.1/;GetCurrentMeterValueCommand exists in the ontology;passed
https://saref.etsi.org/core/v3.1.1/;["GetMeterHistoryCommand"];https://saref.etsi.org/core/v3.1.1/;GetMeterHistoryCommand exists in the ontology;passed
